SiteID;SiteName.serieRecente;SiteNameAnnale;localita;comune;provincia
611;Sorti;Sorti;Sorti;Sefro;MC
612;Serravalle del Chienti;Serravalle del Chienti;Taverne;Serravalle di Chienti;MC
613;Baraccola;Baraccola;Passo Varano - Centro Funzionale;Ancona;AN
614;Tavoleto;Tavoleto;Via Gurka;Tavoleto;PU
615;San Lorenzo in Campo;San Lorenzo in Campo;Via Zara;San Lorenzo in Campo;PU
616;Apiro;Apiro;Capoluogo;Poggio San Vicino;MC
617;Tolentino;Tolentino;Via Caduti di Nassiriya;Tolentino;MC
618;Barbara;Barbara;Via XXV Aprile;Barbara;AN
620;Acquasanta Terme;Acquasanta Terme;Via Salaria - Parco Rio Acquasanta;Acquasanta Terme;AP
621;Piagge;Piagge; ;Piagge;PU
701;Ancona Torrette;Ancona Torrette;Torrette di Ancona;Ancona;AN
702;Carpegna;Carpegna; ;Carpegna;PU
703;Amatrice;Amatrice; ;Amatrice;RI
704;Capannina Poggio San Vicino;Capannina Poggio San Vicino; ;Poggio San Vicino;MC
705;Corinaldo;Corinaldo; ;Corinaldo;AN
706;Urbania;Urbania; ;Urbania;PU
707;Cantiano;Cantiano; ;Cantiano;PU
708;Diga di Carassai;Diga di Carassai; ;Carassai;AP
711;Acquasanta;Acquasanta; ;Acquasanta Terme;AP
712;Pianello;Pianello;Pianello;Cagli;PU
713;Pioraco;Pioraco; ;Pioraco;MC
714;Sassoferrato;Sassoferrato; ;Sassoferrato;AN
715;Arquata del Tronto;Arquata del Tronto;Borgo;Arquata del Tronto;AP
716;Ripatransone;Ripatransone; ;Ripatransone;AP
717;Poggio Cancelli;Poggio Cancelli; ;Campotosto;AQ
718;Croce di Casale;Croce di Casale;San Giovanni di Illice;Comunanza;AP
720;Amandola;Amandola; ;Amandola;FM
721;Frontino;Frontino;Montefiorentino;Frontino;PU
722;Sant'Angelo in Pontano;Sant'Angelo in Pontano;Vallonica;Sant'Angelo in Pontano;MC
723;Pieve Bovigliana;Pieve Bovigliana; ;Pievebovigliana;MC
724;Bocca Serriola;Bocca Serriola;Caifirenze;Citta' di Castello;PG
725;Gelagna Alta;Gelagna Alta; ;Serravalle di Chienti;MC
726;Monte Acuto;Monte Acuto;Monte Acuto - Rifugio Cupa delle Cotaline;Frontone;PU
727;Piobbico;Piobbico;NA;Piobbico;PU
1380;Badia Tedalda;Badia Tedalda; ;Badia Tedalda;AR
1390;Pennabilli;Pennabilli; ;Pennabilli;PU
1400;Novafeltria;Novafeltria; ;Novafeltria;PU
1410;San Marino;San Marino; ; ; 
1420;Rimini;Rimini; ;Rimini;RN
1450;Saludecio;Saludecio; ;Saludecio;RN
1510;Candelara;Candelara; ;Pesaro;PU
1540;Lamoli;Lamoli; ;Borgo Pace;PU
1550;Mercatello;Mercatello; ;Mercatello sul Metauro;PU
1600;Bocca Serriola;Bocca Serriola; ;Citta' di Castello;PG
1630;Cagli;Cagli; ;Cagli;PU
1670;Bargni;Bargni; ;Serrungarina;PU
1680;Barchi;Barchi; ;Barchi;PU
1740;Mondolfo;Mondolfo; ;Mondolfo;PU
1760;Ostra;Ostra; ;Ostra;AN
1785;Ostra;Ostra; ;Ostra;AN
1840;Poggio S. Romualdo;Poggio S. Romualdo; ;Fabriano;AN
1960;Ville Santa Lucia;Ville Santa Lucia; ;Nocera Umbra;PG
1998;San Severino Marche;San Severino Marche; ;San Severino Marche;MC
2010;Montecassiano;Montecassiano; ;Montecassiano;MC
2130;Petriolo;Petriolo; ;Petriolo;MC
2250;Monterubbiano;Monterubbiano; ;Monterubbiano;FM
2261;Pedaso;Pedaso; ;Pedaso;FM
2280;Ragnola;Ragnola; ;San Benedetto del Tronto;AP
2290;Poggio Cancelli;Poggio Cancelli; ;Campotosto;AQ
2350;Capo di Colle;Capo di Colle; ;Roccafluvione;AP
2360;San Martino;San Martino; ;Acquasanta Terme;AP
2370;Diga di Talvacchia;Diga di Talvacchia; ;Ascoli Piceno;AP
2380;San Vito;San Vito; ;Valle Castellana;TE
2400;Offida;Offida; ;Offida;AP
