SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;SiteName.serieRecente;SiteNameAnnale;FullSiteCode;localita;comune;provincia;Comments;Elevation_flag
726;726;Monte Acuto;12.69196;43.477711;1446;Marche;Monte Acuto;Monte Acuto;OD:726;Monte Acuto - Rifugio Cupa delle Cotaline;Frontone;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
727;727;Piobbico;12.51521;43.586731;331;Marche;Piobbico;Piobbico;OD:727;NA;Piobbico;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1380;1380;Badia Tedalda;12.188163;43.705326;756;Toscana;Badia Tedalda;Badia Tedalda;OD:1380; ;Badia Tedalda;AR;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1390;1390;Pennabilli;12.262612;43.815048;600;Marche;Pennabilli;Pennabilli;OD:1390; ;Pennabilli;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1400;1400;Novafeltria;12.289552;43.890057;293;Marche;Novafeltria;Novafeltria;OD:1400; ;Novafeltria;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1410;1410;San Marino;12.452328;43.933327;652;San Marino;San Marino;San Marino;OD:1410; ; ; ;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1420;1420;Rimini;12.568995;44.049999;7;Emilia Romagna;Rimini;Rimini;OD:1420; ;Rimini;RN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1450;1450;Saludecio;12.668161;43.869217;340;Emilia Romagna;Saludecio;Saludecio;OD:1450; ;Saludecio;RN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1510;1510;Candelara;12.884814;43.852554;210;Marche;Candelara;Candelara;OD:1510; ;Pesaro;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1540;1540;Lamoli;12.254837;43.621155;600;Marche;Lamoli;Lamoli;OD:1540; ;Borgo Pace;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1550;1550;Mercatello;12.334831;43.644768;429;Marche;Mercatello;Mercatello;OD:1550; ;Mercatello sul Metauro;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1600;1600;Bocca Serriola;12.3515;43.515045;730;Umbria;Bocca Serriola;Bocca Serriola;OD:1600; ;Citta' di Castello;PG;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1630;1630;Cagli;12.647888;43.545048;276;Marche;Cagli;Cagli;OD:1630; ;Cagli;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1670;1670;Bargni;12.85288;43.748386000000004;273;Marche;Bargni;Bargni;OD:1670; ;Serrungarina;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1680;1680;Barchi;12.927324;43.670601;319;Marche;Barchi;Barchi;OD:1680; ;Barchi;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1740;1740;Mondolfo;13.094534;43.749771;144;Marche;Mondolfo;Mondolfo;OD:1740; ;Mondolfo;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1760;1760;Ostra;13.157041;43.611713;193;Marche;Ostra;Ostra;OD:1760; ;Ostra;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1785;1785;Ostra;13.151919;43.613449;193;Marche;Ostra;Ostra;OD:1785; ;Ostra;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1840;1840;Poggio S. Romualdo;13.029268;43.360878;926;Marche;Poggio S. Romualdo;Poggio S. Romualdo;OD:1840; ;Fabriano;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1960;1960;Ville Santa Lucia;12.853168;43.185875;664;Umbria;Ville Santa Lucia;Ville Santa Lucia;OD:1960; ;Nocera Umbra;PG;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
1998;1998;San Severino Marche;13.177045;43.226711;344;Marche;San Severino Marche;San Severino Marche;OD:1998; ;San Severino Marche;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2010;2010;Montecassiano;13.434818;43.360874;215;Marche;Montecassiano;Montecassiano;OD:2010; ;Montecassiano;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2130;2130;Petriolo;13.463982;43.219212;271;Marche;Petriolo;Petriolo;OD:2130; ;Petriolo;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2250;2250;Monterubbiano;13.71538;43.08337;463;Marche;Monterubbiano;Monterubbiano;OD:2250; ;Monterubbiano;FM;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2261;2261;Pedaso;13.84232;43.094208;152;Marche;Pedaso;Pedaso;OD:2261; ;Pedaso;FM;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2280;2280;Ragnola;13.886205;42.920593;10;Marche;Ragnola;Ragnola;OD:2280; ;San Benedetto del Tronto;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2290;2290;Poggio Cancelli;13.33483;42.548363;1450;Abruzzo;Poggio Cancelli;Poggio Cancelli;OD:2290; ;Campotosto;AQ;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2350;2350;Capo di Colle;13.468161;42.840031;539;Marche;Capo di Colle;Capo di Colle;OD:2350; ;Roccafluvione;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2360;2360;San Martino;13.450664;42.731701;783;Marche;San Martino;San Martino;OD:2360; ;Acquasanta Terme;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2370;2370;Diga di Talvacchia;13.508443;42.778923;515;Marche;Diga di Talvacchia;Diga di Talvacchia;OD:2370; ;Ascoli Piceno;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2380;2380;San Vito;13.5501;42.790031;688;Abruzzo;San Vito;San Vito;OD:2380; ;Valle Castellana;TE;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
2400;2400;Offida;13.690375;42.930035;293;Marche;Offida;Offida;OD:2400; ;Offida;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
