SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;SiteName.serieRecente;SiteNameAnnale;FullSiteCode;localita;comune;provincia;Comments;Elevation_flag
112;112;Villa Fastiggi;12.86939;43.89061;22;Marche;Villa Fastiggi;Villa Fastiggi;OD:112;Villa Fastiggi;Pesaro;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
116;116;Osimo;13.449279;43.447353;60;Marche;Osimo;Osimo;OD:116;Passatempo;Osimo;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
117;117;Filottrano;13.351167;43.435833;305;Marche;Filottrano;Filottrano;OD:117;Filottrano;Filottrano;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
118;118;Cupramontana;13.115717;43.445461;510;Marche;Cupramontana;Cupramontana;OD:118;Cupramontana;Cupramontana;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
119;119;Montecarotto;13.056502;43.534794;350;Marche;Montecarotto;Montecarotto;OD:119;Colle;Montecarotto;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
121;121;Marotta Cesano;13.171053;43.749657;7;Marche;Marotta Cesano;Marotta Cesano;OD:121;Cesano di Senigallia;Senigallia;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
123;123;Arcevia;12.936685;43.497452;535;Marche;Arcevia;Arcevia;OD:123;Arcevia;Arcevia;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
124;124;Loro Piceno;13.403673;43.159931;430;Marche;Loro Piceno;Loro Piceno;OD:124;Grazia Fiastra;Loro Piceno;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
128;128;Recanati;13.59325;43.383694;25;Marche;Recanati;Recanati;OD:128;Recanati;Recanati;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
130;130;Camerino;13.067975;43.140064;581;Marche;Camerino;Camerino;OD:130;Camerino;Camerino;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
131;131;Pie' del Sasso;12.994152;42.983742;960;Marche;Pie' del Sasso;Pie' del Sasso;OD:131;Pantaneto;Monte Cavallo;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
133;133;Umito;13.406583;42.737415;646;Marche;Umito;Umito;OD:133;Umito;Acquasanta Terme;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
134;134;Capodacqua;13.238181;42.73848;842;Marche;Capodacqua;Capodacqua;OD:134;Capodacqua;Arquata del Tronto;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
136;136;Mozzano;13.53753;42.849648;193;Marche;Mozzano;Mozzano;OD:136;Mozzano;Ascoli Piceno;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
137;137;Spinetoli;13.775472;42.85936;30;Marche;Spinetoli;Spinetoli;OD:137;Spinetoli;Spinetoli;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
139;139;Rotella;13.568578;42.954037;385;Marche;Rotella;Rotella;OD:139;Rotella;Rotella;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
140;140;San Benedetto;13.889167;42.933224;6;Marche;San Benedetto;San Benedetto;OD:140;S.Benedetto del Tronto;San Benedetto del Tronto;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
142;142;Montemonaco;13.32611;42.899452;995;Marche;Montemonaco;Montemonaco;OD:142;Montemonaco;Montemonaco;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
143;143;Force;13.489691;42.962967;643;Marche;Force;Force;OD:143;Force;Force;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
146;146;Porto Sant' Elpidio;13.772406;43.232677;9;Marche;Porto Sant' Elpidio;Porto Sant' Elpidio;OD:146;Porto S.Elpidio;Porto Sant'Elpidio;FM;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
147;147;Grottazzolina;13.598611;43.10611;200;Marche;Grottazzolina;Grottazzolina;OD:147;Grottazzolina;Grottazzolina;FM;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
148;148;Fermo;13.714444;43.157501;224;Marche;Fermo;Fermo;OD:148;Fermo;Fermo;FM;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
149;149;Ancona Regione;13.508361;43.610359;91;Marche;Ancona Regione;Ancona Regione;OD:149;Ancona;Ancona;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
150;150;Ussita;13.1425;42.943638;749;Marche;Ussita;Ussita;OD:150;Ussita;Ussita;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
151;151;Fossombrone;12.798468;43.694527;96;Marche;Fossombrone;Fossombrone;OD:151;Fossombrone;Fossombrone;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
152;152;Fano;13.053796;43.826328;7;Marche;Fano;Fano;OD:152;Metaurilia;Fano;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
153;153;Grottammare;13.870462;42.977432;7;Marche;Grottammare;Grottammare;OD:153;Grottammare;Grottammare;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
154;154;Civitanova Marche;13.714719;43.290543;8;Marche;Civitanova Marche;Civitanova Marche;OD:154;Civitanova Marche;Civitanova Marche;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
160;160;Meteomarina CADSEALAND;13.672242;43.42337;0;Marche;Meteomarina CADSEALAND;Meteomarina CADSEALAND;OD:160;Porto Recanati;Porto Recanati;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
162;162;Osimo Monteragolo;13.501806;43.492374;123;Marche;Osimo Monteragolo;Osimo Monteragolo;OD:162;Monteragolo;Osimo;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
165;165;Rostighello;13.53819;43.43821;28;Marche;Rostighello;Rostighello;OD:165;Rostighello;Recanati;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
166;166;Svarchi;13.594651;43.475464;6;Marche;Svarchi;Svarchi;OD:166;Svarchi;Numana;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
171;171;Endesa;13.098633;42.926182;700;Marche;Endesa;Endesa;OD:171;Visso;Visso;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
172;172;Ponte Tavola;13.13815;42.904469;709;Marche;Ponte Tavola;Ponte Tavola;OD:172;Ponte Tavola;Castelsantangelo sul Nera;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
174;174;Montecchio;12.764225;43.849812;40;Marche;Montecchio;Montecchio;OD:174;Montecchio;Sant'Angelo in Lizzola;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
175;175;Monte Paganuccio;12.758709;43.628101;889;Marche;Monte Paganuccio;Monte Paganuccio;OD:175;Monte Paganuccio;Cagli;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
176;176;Foresta della Cesana;12.7675;43.6926;633;Marche;Foresta della Cesana;Foresta della Cesana;OD:176;Cesane Foresta;Fossombrone;PU;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
180;180;Fiumesino;13.37239;43.629501;5;Marche;Fiumesino;Fiumesino;OD:180;Fiumesino;Falconara Marittima;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
181;181;Marina di Montemarciano;13.34;43.646;5;Marche;Marina di Montemarciano;Marina di Montemarciano;OD:181;Marina di Montemarciano;Montemarciano;AN;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
201;201;Bolognola;13.239088;42.991081;1360;Marche;Bolognola;Bolognola;OD:201;Pintura;Bolognola;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
202;202;Sibilla;13.270284;42.895138;1740;Marche;Sibilla;Sibilla;OD:202;Monte Sibilla;Montemonaco;AP;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
203;203;Isola San Biagio;13.29862;42.917679;1260;Marche;Isola San Biagio;Isola San Biagio;OD:203;Isola San Biagio;Montefortino;FM;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
204;204;Sarnano;13.241568;43.006702;1365;Marche;Sarnano;Sarnano;OD:204;Sassotetto;Sarnano;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
205;205;Pizzo Tre Vescovi;13.205391;42.954021;1825;Marche;Pizzo Tre Vescovi;Pizzo Tre Vescovi;OD:205;Forcella del Fargno;Ussita;MC;Anagrafica che contiene le info di HisCentral e dell'anagrafica fornita dal Centro Funzionale Marche;0
