SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
79;A620;SAN QUIRINO LA ROIATA;12.6398;46.0166;109;FVG;OD:A620;1
80;A621;SAN QUIRINO OFFICINA C.B.C.M.;12.6312;46.0318;122;FVG;OD:A621;1
81;A622;SAN MARTINO DI CAMPAGNA;12.6441;46.0785;188;FVG;OD:A622;1
82;A623;RAUSCEDO STAZIONE DI POMPAGGIO C.B.C.M.;12.8244;46.0657;109;FVG;OD:A623;1
83;A624;BASALDELLA DI VIVARO;12.7906;46.0882;139;FVG;OD:A624;1
84;A625;SAN LEONARDO VALCELLINA;12.6824;46.0982;220;FVG;OD:A625;1
85;A626;VILLA RINALDI;12.7074;46.0295;95;FVG;OD:A626;1
86;A627;CORDENONS ACQUEDOTTO SAN GIOVANNI;12.7004;46.0092;72;FVG;OD:A627;1
87;A640;FORCATE EX ACQUEDOTTO;12.5886;45.9986;70;FVG;OD:A640;1
88;A641;COLESIT;12.5548;46.0124;72;FVG;OD:A641;1
89;A642;VILLADOLT;12.5683;45.9792;50;FVG;OD:A642;1
90;A643;VIGONOVO;12.5452;45.9859;46;FVG;OD:A643;1
91;B001;ERTO;12.3707;46.2778;830;FVG;OD:B001;1
92;B004;RIFUGIO MANIAGO;12.3937;46.3207;1906;FVG;OD:B004;1
93;C001;MAURIA;12.539;46.4447;1096;FVG;OD:C001;1
94;C003;FORNI DI SOPRA;12.5832;46.4236;989;FVG;OD:C003;1
95;C006;ANDRAZZA;12.5876;46.4047;850;FVG;OD:C006;1
96;C009;VARMOST PLAN DAI POS;12.5596;46.4546;1913;FVG;OD:C009;1
97;C022;PASSO DELLA MORTE STAVOLO MEZZAN;12.7151;46.3928;771;FVG;OD:C022;1
98;C023;Caprizi;12.7792;46.3732;619;FVG;OD:C023;1
99;C032;MALGA CJAMPIUZ;12.679;46.3512;1585;FVG;OD:C032;1
100;C050;Invillino Madonna del Ponte;12.9296;46.4038;356;FVG;OD:C050;1
101;C051;Tolmezzo Ponte Avons;13.0129;46.3902;295;FVG;OD:C051;1
102;C052;SELLA CHIANZUTAN;12.9403;46.3589;1097;FVG;OD:C052;1
103;C100;SAURIS DI SOPRA;12.6819;46.4673;1543;FVG;OD:C100;1
104;C101;SAURIS DI SOTTO;12.7081;46.4656;1163;FVG;OD:C101;1
105;C102;LA MAINA;12.7331;46.4509;1169;FVG;OD:C102;1
106;C103;CASERA CHIANSAVEIT;12.6264;46.4519;1642;FVG;OD:C103;1
107;C104;CASERA PIELTINIS;12.723;46.4845;1785;FVG;OD:C104;1
108;C120;AMPEZZO;12.7988;46.4148;530;FVG;OD:C120;1
109;C150;FORNI AVOLTRI;12.7738;46.5868;936;FVG;OD:C150;1
110;C151;COLLINA;12.839;46.5856;1345;FVG;OD:C151;1
111;C152;PRATO CARNICO PONTE R. AGAZZO;12.8113;46.5199;728;FVG;OD:C152;1
112;C153;PRATO CARNICO PONTE T. PESARINA;12.8056;46.5188;712;FVG;OD:C153;1
113;C154;PESARIIS;12.7757;46.5218;760;FVG;OD:C154;1
114;C155;COMEGLIANS;12.8645;46.5057;558;FVG;OD:C155;1
115;C156;RAVASCLETTO;12.9166;46.519;948;FVG;OD:C156;1
116;C159;CHIALINA;12.8715;46.4741;513;FVG;OD:C159;1
117;C164;PE' DI CLEVA CENTRO SCI NORDICO;12.7464;46.5705;1065;FVG;OD:C164;1
118;C183;ESEMON DI SOTTO;12.9068;46.4112;381;FVG;OD:C183;1
119;C184;RAVEO;12.8706;46.4331;520;FVG;OD:C184;1
120;C185;VILLA SANTINA;12.9115;46.4182;440;FVG;OD:C185;1
