SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Comments;Comments2;Elevation_flag
49;1530;Rh?mes-Saint-Georges_-_Feleumaz;7.121409893;45.60749817;2368;VDA;OD:1530;NA;NA;0
50;1550;Rh?mes-Saint-Georges_-_Capoluogo_;7.152609825;45.64970016;1239;VDA;OD:1550;NA;NA;0
52;1570;Saint-Oyen_-_Moulin;7.208730221;45.82089996;1373;VDA;OD:1570;NA;NA;0
54;1590;Saint-Rh?my-en-Bosses_-_Cr?vacol;7.155910015;45.82910156;2053;VDA;OD:1590;NA;NA;0
55;1600;Saint-Rh?my-en-Bosses_-_Gran_San_Bernardo;7.15252018;45.86849976;2471;VDA;OD:1600;NA;NA;0
56;1610;Saint-Rh?my-en-Bosses_-_Mont-Botzalet;7.147799969;45.840400700000004;2388;VDA;OD:1610;NA;NA;0
57;1620;Valgrisenche_-_Menthieu;7.52519798;45.61370087;1777;VDA;OD:1620;NA;NA;0
58;1630;Valpelline_-_Chosoz;7.339650154;45.82690048;1138;VDA;OD:1630;NA;NA;0
60;1650;Valsavarenche_-_Eaux-Rousses;7.208370209;45.56679916;1769;VDA;OD:1650;NA;NA;0
62;1670;Valsavarenche_-_Orvieille;7.191979885;45.57989883;1991;VDA;OD:1670;NA;NA;0
63;1690;Valtournenche_-_Cime_Bianche;7.69148016;45.91820145;3018;VDA;OD:1690;NA;NA;0
64;1700;Valtournenche_-_Lago_Goillet;7.662129879;45.93119812;2522;VDA;OD:1700;NA;NA;0
65;1710;Valtournenche_-_Grandes_Murailles;7.601970196;45.92910004;2410;VDA;OD:1710;NA;NA;0
66;1720;Valtournenche_-_Maen;7.611189842;45.86259842;1370;VDA;OD:1720;NA;NA;0
67;1730;Ayas_-_Alpe_Aventine;7.719260216;45.87400055;1990;VDA;OD:1730;NA;NA;0
77;3000;Verr?s_-_Capoluogo;7.686039925;45.66519928;376;VDA;OD:3000;NA;NA;0
78;3010;Saint-Denis_-_Raffort;7.576429844;45.74990082;1105;VDA;OD:3010;NA;NA;0
79;3020;Villeneuve_-_S.R._Saint-Nicolas;7.207419872;45.70740128;752;VDA;OD:3020;NA;NA;0
80;3030;Morgex_-_Capoluogo;7.38499832;45.75839996;1046;VDA;OD:3030;NA;NA;0
81;3040;Gressoney-Saint-Jean_-_Bieltschocke;7.833069801;45.76739883;1405;VDA;OD:3040;NA;NA;0
82;3050;Champorcher_-_Petit-Mont-Blanc;7.609489918;45.62469864;1760;VDA;OD:3050;NA;NA;0
83;3060;Rh?mes-Notre-Dame_-_Chaudanne;7.113770008;45.5603981;1799;VDA;OD:3060;Allunga la serie storica di precipitazione (Rh?mes-N.D., G002 - 100) inviata dal Centro Funzionale. Non esiste serie di temperatura.;NA;0
84;3070;Valsavarenche_-_Pont;7.200960159;45.52679825;2030;VDA;OD:3070;NA;NA;0
85;3080;Nus_-_Saint-Barth?lemy_-_Osservatorio;7.478079796;45.79000092;1611;VDA;OD:3080;NA;NA;0
88;3110;Courmayeur_-_Dolonne;6.966549873;45.79430008;1236;VDA;OD:3110;NA;NA;0
89;3120;Saint-Vincent_-_Terme;7.652629852;45.74950027;623;VDA;OD:3120;NA;NA;0
96;3590;Valtournenche_-_Breuil_Cervinia;7.62624979;45.9314003;2103;VDA;OD:3590;NA;NA;0
97;3600;Ayas_-_Champoluc;7.728233814;45.83677673;1601;VDA;OD:3600;NA;NA;0
98;4090;Saint-Christophe_-_Aeroporto;7.363540173;45.73929977;549;VDA;OD:4090;Allunga la serie storica di precipitazione (Aosta\S.Christophe, G001 - 1999) e di temperatura tmax e tmin (Saint-Christophe aeroporto, G005 - 103) inviata dal Centro Funzionale;NA;0
101;G003;Pontboset;7.68318;45.608818;943;NA;OD:G003;Serie storiche inviate da Centro Funzionale. Codice inventato da Guido;Nessuna serie HisCentral di precipitazione e nessuna serie in Centro Funzionale;1
104;G006;Issime Grand-Praz;7.85904;45.672474;1082;NA;OD:G006;Serie storiche di tmax e tmin inviate da Centro Funzionale. Codice inventato da Guido;Nessuna serie HisCentral di precipitazione e nessuna serie in Centro Funzionale;1
105;G007;Valgrisenche Diga;7.6073;45.618874;1832;NA;OD:G007;Serie storiche di tmax e tmin inviate da Centro Funzionale. Codice inventato da Guido;Nessuna serie HisCentral di precipitazione e nessuna serie in Centro Funzionale;1
106;G008;Gressoney-L.T. D'Ejola;7.8149;45.856062;1823;NA;OD:G008;Serie storiche di tmax e tmin inviate da Centro Funzionale. Codice inventato da Guido;Nessuna serie HisCentral di precipitazione e nessuna serie in Centro Funzionale;1
