SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Elevation_flag;FullSiteCode;cod_rete;cod_reg;nota
96;COBE0;Colle Belenda;7.69983;43.98152;1267;1;OD:COBE0;NA;7;NA
97;COCA0;Colle S. Bartolomeo;7.952;44.01039;610;1;OD:COCA0;NA;7;NA
98;COGO0;Cogoleto;8.64615;44.39092;22;1;OD:COGO0;NA;7;NA
99;COMA0;Comago;8.9705;44.49052;290;1;OD:COMA0;NA;7;NA
100;COME0;Colle del Melogno;8.19732;44.23056;1001;1;OD:COME0;NA;7;NA
101;CONA0;Colle di Nava;7.87331;44.08325;963;1;OD:CONA0;NA;7;NA
105;CRNU0;Cornua;9.14225;44.43409;261;1;OD:CRNU0;NA;7;NA
106;CROC0;Crocetta di Orero;8.98586;44.52014;490;1;OD:CROC0;NA;7;NA
107;CRORE;Crocetta di Orero;8.98586;44.52014;490;1;OD:CRORE;NA;7;NA
108;CSGN0;Cassagna;9.47037;44.33996;514;1;OD:CSGN0;NA;7;NA
111;CVAL0;Cartiera Valle;8.65104;44.40776;64;1;OD:CVAL0;NA;7;NA
114;DLCD0;Dolcedo;7.95115;43.90674;143;1;OD:DLCD0;NA;7;NA
115;DOLCD;Dolcedo;7.95115;43.90674;143;1;OD:DOLCD;NA;7;NA
117;DVGN0;Davagna;9.09539;44.46781;475;1;OD:DVGN0;NA;7;NA
118;DVNO0;Diga Val Noci;9.03475;44.49291;665;1;OD:DVNO0;NA;7;NA
119;ELLE0;Ellera;8.46848;44.36218;166;1;OD:ELLE0;NA;7;NA
121;ELRA0;Ellera;8.4647;44.36301;113;1;OD:ELRA0;NA;7;NA
122;EPAN0;Panesi;9.35624;44.34209;50;1;OD:EPAN0;NA;7;NA
123;EQUIT;Equi terme;10.14987;44.16905;358;1;OD:EQUIT;NA;7;NA
124;ETRME;Equi Terme;10.14987;44.16905;358;1;OD:ETRME;NA;7;NA
125;EUSE0;Genova - S. Eusebio;8.98836;44.44309;187;1;OD:EUSE0;NA;7;NA
126;FAV20;Favale di Malvaro;9.25877;44.45242;420;1;OD:FAV20;NA;7;NA
127;FAVA0;Favale di Malvaro;9.25877;44.45242;420;1;OD:FAVA0;NA;7;NA
128;FEGL0;Feglino;8.32505;44.2204;214;1;OD:FEGL0;NA;7;NA
133;FOSP0;La Foce;9.78808;44.12485;269;1;OD:FOSP0;NA;7;NA
134;FRNLA;Fornola;9.90619;44.13805;17;1;OD:FRNLA;NA;7;NA
135;FRNO0;Fiorino;8.70493;44.46494;306;1;OD:FRNO0;NA;7;NA
136;GARL0;Garlenda;8.0974;44.03337;148;1;OD:GARL0;NA;7;NA
137;GCAS0;Genova - Castellaccio;8.93448;44.42834;171;1;OD:GCAS0;NA;7;NA
142;GEPTX;Genova - Pontedecimo;8.9001;44.48852;181;1;OD:GEPTX;NA;7;NA
143;GGRA0;Grattola;9.88;44.37;241;1;OD:GGRA0;NA;7;NA
145;GIUS0;Pontremoli - S.Giustina;9.89656;44.36182;226;1;OD:GIUS0;NA;7;NA
146;GOTTR;Ca' di Ferra;9.66244;44.28059;225;1;OD:GOTTR;NA;7;NA
148;GPIA0;Giacopiane;9.39525;44.46268;998;1;OD:GPIA0;NA;7;NA
149;GUAR0;Madonna della Guardia;8.86297;44.48905;642;1;OD:GUAR0;NA;7;NA
150;GUARD;Madonna della Guardia;8.86297;44.48905;642;1;OD:GUARD;NA;7;NA
151;GUIND;Guinadi - Presa Verde;9.84836;44.41206;446;1;OD:GUIND;NA;7;NA
