SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
74;TOS01001561;Serra Pistoiese;10.75975;43.975617;700;Toscana;OD:TOS01001561;1
75;TOS01001601;Montecatini Terme;10.773986;43.896797;120;Toscana;OD:TOS01001601;1
76;TOS01001629;Castelmartini;10.829129;43.817839;22;Toscana;OD:TOS01001629;1
77;TOS01001634;S. Baronto;10.939066;43.835141;338;Toscana;OD:TOS01001634;1
78;TOS01001664;Volterra;10.862233;43.408995;372;Toscana;OD:TOS01001664;1
79;TOS01001679;La Madonnina;10.909972;43.455625;271;Toscana;OD:TOS01001679;1
80;TOS01001711;Orciatico;10.723384;43.435585;276;Toscana;OD:TOS01001711;1
81;TOS01001751;Ghizzano di Peccioli;10.790457;43.536004;159;Toscana;OD:TOS01001751;1
82;TOS01001781;Casciana Terme;10.618437;43.526575;97;Toscana;OD:TOS01001781;1
83;TOS01001801;Monte Serra;10.555;43.751788;727;Toscana;OD:TOS01001801;1
84;TOS01001831;Coltano;10.391303;43.639594;4;Toscana;OD:TOS01001831;1
85;TOS01001849;Segromigno Monte;10.594479;43.895842;141;Toscana;OD:TOS01001849;1
86;TOS01001861;Montecarlo;10.66658;43.856053;79;Toscana;OD:TOS01001861;1
87;TOS01001889;Orentano;10.658026;43.776315;16;Toscana;OD:TOS01001889;1
88;TOS01001916;Cenaia;10.537294;43.608236;17;Toscana;OD:TOS01001916;1
89;TOS01001921;Lorenzana;10.53536;43.53704;89;Toscana;OD:TOS01001921;1
90;TOS01001961;Valle Benedetta;10.406518;43.517376;285;Toscana;OD:TOS01001961;1
91;TOS01002011;Miemo;10.670702;43.410186;440;Toscana;OD:TOS01002011;1
92;TOS01002071;Gerfalco;10.975141;43.142435;686;Toscana;OD:TOS01002071;1
93;TOS01002085;Anqua;10.98731;43.215242;409;Toscana;OD:TOS01002085;1
94;TOS01002104;Montecastelli P.;10.957532;43.263688;412;Toscana;OD:TOS01002104;1
95;TOS01002115;Ponsano;10.990347;43.365308;316;Toscana;OD:TOS01002115;1
96;TOS01002131;Montecatini V. Cecina;10.743084;43.387148;344;Toscana;OD:TOS01002131;1
97;TOS01002161;Libbiano;10.806942;43.281767;419;Toscana;OD:TOS01002161;1
98;TOS01002171;Canneto;10.739307;43.202337;310;Toscana;OD:TOS01002171;1
99;TOS01002181;Sassa;10.691371;43.257956;359;Toscana;OD:TOS01002181;1
100;TOS01002201;Montescudaio;10.632581;43.326721;171;Toscana;OD:TOS01002201;1
101;TOS01002231;Riparbella;10.603037;43.367253;241;Toscana;OD:TOS01002231;1
102;TOS01002309;Sasso Pisano;10.8672;43.169745;473;Toscana;OD:TOS01002309;1
103;TOS01002331;Serrazzano;10.820042;43.222155;475;Toscana;OD:TOS01002331;1
104;TOS01002351;Lago;10.807232;43.154992;268;Toscana;OD:TOS01002351;1
105;TOS01002361;Lustignano;10.797592;43.1859;356;Toscana;OD:TOS01002361;1
106;TOS01002371;Monterotondo;10.858556;43.150218;605;Toscana;OD:TOS01002371;1
107;TOS01002376;Monteverdi;10.716197;43.184386;408;Toscana;OD:TOS01002376;1
108;TOS01002381;Sassetta;10.639867;43.124135;407;Toscana;OD:TOS01002381;1
109;TOS01002401;Santa Costanza;10.903623;43.117024;567;Toscana;OD:TOS01002401;1
110;TOS01002779;Campiano;11.03847;43.101954;452;Toscana;OD:TOS01002779;1
111;TOS01004005;Carrara;10.102669;44.081923;156;Toscana;OD:TOS01004005;1
112;TOS01004007;Avenza;10.060135;44.045181;5;Toscana;OD:TOS01004007;1
113;TOS01004379;Stia;11.718598;43.802706;624;Toscana;OD:TOS01004379;1
114;TOS01004411;Subbiano;11.868619;43.572457;289;Toscana;OD:TOS01004411;1
115;TOS01004521;Ponte Ferrovia FI-Roma;11.825468;43.46846;239;Toscana;OD:TOS01004521;1
116;TOS01004568;Bucine;11.620751;43.484233;206;Toscana;OD:TOS01004568;1
117;TOS01004571;Montevarchi;11.567136;43.542615;145;Toscana;OD:TOS01004571;1
118;TOS01004589;Incisa Monte;11.456561;43.688196;117;Toscana;OD:TOS01004589;1
119;TOS01004591;Incisa Valle;11.456679;43.691696;111;Toscana;OD:TOS01004591;1
120;TOS01004611;Bilancino;11.288958;43.978906;240;Toscana;OD:TOS01004611;1
121;TOS01004621;S. Piero a Sieve-Sieve;11.329263;43.96699;216;Toscana;OD:TOS01004621;1
122;TOS01004623;S. Piero a Sieve-Carza;11.323388;43.960834;221;Toscana;OD:TOS01004623;1
123;TOS01004625;Dicomano;11.527499;43.885481;235;Toscana;OD:TOS01004625;1
124;TOS01004641;Fornacina;11.468785;43.803025;143;Toscana;OD:TOS01004641;1
125;TOS01004642;Fornacina 2 ul;11.468785;43.803025;143;Toscana;OD:TOS01004642;1
126;TOS01004659;Nave di Rosano;11.421897;43.773255;86;Toscana;OD:TOS01004659;1
127;TOS01004661;Nave Rosano valle;11.416489;43.774395;86;Toscana;OD:TOS01004661;1
128;TOS01004679;Firenze Uffizi;11.255615;43.769726;50;Toscana;OD:TOS01004679;1
129;TOS01004683;Firenze Uffizi 3;11.25536;43.769551;50;Toscana;OD:TOS01004683;1
130;TOS01004702;Ponte alle Mosse;11.227683;43.78875;48;Toscana;OD:TOS01004702;1
131;TOS01004705;Greve;11.316808;43.586744;271;Toscana;OD:TOS01004705;1
132;TOS01004723;Tavarnuzze;11.217966;43.71248;102;Toscana;OD:TOS01004723;1
133;TOS01004725;Strada in Chianti;11.315771;43.665899;160;Toscana;OD:TOS01004725;1
134;TOS01004731;Scandicci;11.193523;43.754729;43;Toscana;OD:TOS01004731;1
135;TOS01004779;Vaiano Gamberame;11.128141;43.924691;175;Toscana;OD:TOS01004779;1
136;TOS01004782;Prato;11.107831;43.879033;63;Toscana;OD:TOS01004782;1
137;TOS01004784;Calenzano;11.156618;43.870227;67;Toscana;OD:TOS01004784;1
138;TOS01004791;S. Piero a Ponti;11.131803;43.805318;35;Toscana;OD:TOS01004791;1
139;TOS01004795;Sesto Fiorentino;11.193298;43.823151;39;Toscana;OD:TOS01004795;1
140;TOS01004811;Ponte a Signa;11.096958;43.772686;43;Toscana;OD:TOS01004811;1
141;TOS01004837;Pontelungo;10.893629;43.922766;65;Toscana;OD:TOS01004837;1
142;TOS01004875;Poggio a Caiano;11.061444;43.814591;35;Toscana;OD:TOS01004875;1
143;TOS01004901;Montelupo;11.049752;43.762396;72;Toscana;OD:TOS01004901;1
144;TOS01004915;Montespertoli;11.133471;43.618974;263;Toscana;OD:TOS01004915;1
145;TOS01004921;Turbone;11.035944;43.718586;74;Toscana;OD:TOS01004921;1
146;TOS01004941;Empoli;10.947135;43.725925;31;Toscana;OD:TOS01004941;1
147;TOS01004965;Poggibonsi;11.129404;43.47162;97;Toscana;OD:TOS01004965;1
148;TOS01004967;Certaldo;11.035636;43.546531;74;Toscana;OD:TOS01004967;1
149;TOS01004971;Castelfiorentino;10.97041;43.604146;66;Toscana;OD:TOS01004971;1
