SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;FullSiteCode;Elevation_flag
179;345;PETTINENGO;8.102575;45.608056;683;Piemonte;OD:345;1
180;346;ANDRATE PINALBA;7.892286;45.561025;1557;Piemonte;OD:346;1
181;347;COLLERETTO;7.659607;45.442319;1182;Piemonte;OD:347;1
182;348;CERESOLE VILLA;7.210991;45.440186;1631;Piemonte;OD:348;1
183;349;MALCIAUSSIA;7.148372;45.20778;1879;Piemonte;OD:349;1
184;350;NIQUIDETTO;7.358947;45.196913;1277;Piemonte;OD:350;1
185;351;VARISELLA;7.469655;45.193293;593;Piemonte;OD:351;1
186;352;MASSELLO;7.064859;44.959964;1475;Piemonte;OD:352;1
187;353;VACCERA;7.201638;44.875133;1343;Piemonte;OD:353;1
188;354;BARGE;7.249617;44.731872;1020;Piemonte;OD:354;1
189;355;BELLINO;6.982972;44.575045;2067;Piemonte;OD:355;1
190;356;BROSSASCO;7.373378;44.568239;675;Piemonte;OD:356;1
191;357;CANOSIO;7.086471;44.454536;1322;Piemonte;OD:357;1
192;358;S. GIACOMO DEMONTE;7.203181;44.345636;1380;Piemonte;OD:358;1
193;359;VINADIO S. BERNOLFO;7.043822;44.261595;1623;Piemonte;OD:359;1
194;360;PIAGGIA;7.731327;44.071767;1653;Piemonte;OD:360;1
195;361;MONTE CARZA;8.67972;46.042601;904;Piemonte;OD:361;1
196;363;PAROLDO;8.081221;44.445761;750;Piemonte;OD:363;1
197;365;MONCALIERI SANGONE;7.668563;45.007821;220;Piemonte;OD:365;1
198;370;VILLAFRANCA PELLICE;7.499439;44.812064;253;Piemonte;OD:370;1
199;371;TORINO DORA RIPARIA;7.71803;45.075856;215;Piemonte;OD:371;1
200;372;TORINO STURA DI LANZO;7.706548;45.111211;219;Piemonte;OD:372;1
201;373;BRANDIZZO MALONE;7.85193;45.182024;184;Piemonte;OD:373;1
202;374;SAN BENIGNO ORCO;7.806179;45.246798;214;Piemonte;OD:374;1
203;375;VEROLENGO DORA BALTEA;8.041259;45.192007;163;Piemonte;OD:375;1
204;376;VARALLO MASTALLONE;8.255685;45.830484;578;Piemonte;OD:376;1
205;377;CARISIO ELVO;8.207511;45.418613;186;Piemonte;OD:377;1
206;378;GRAVELLONA STRONA;8.434252;45.926886;201;Piemonte;OD:378;1
207;379;NOVARA AGOGNA;8.590679;45.431025;143;Piemonte;OD:379;1
208;381;POLONGHERA VARAITA;7.59867;44.802405;247;Piemonte;OD:381;1
209;382;RACCONIGI MAIRA;7.667296;44.76756;257;Piemonte;OD:382;1
210;383;CARRU' PESIO;7.882912;44.464835;301;Piemonte;OD:383;1
211;385;MONTEROSSO GRANA;7.324373;44.409399;874;Piemonte;OD:385;1
212;386;MONDOVI' ELLERO;7.820049;44.390209;446;Piemonte;OD:386;1
213;387;CESSOLE BORMIDA;8.249284;44.649367;217;Piemonte;OD:387;1
214;388;PONT SOANA;7.601607;45.421595;481;Piemonte;OD:388;1
215;397;BUSALLA;8.946472;44.558205;429;Piemonte;OD:397;1
216;398;ROSSIGLIONE;8.658684;44.575145;326;Piemonte;OD:398;1
217;399;CAIRO MONTENOTTE;8.279239;44.388754;348;Piemonte;OD:399;1
218;4;RIFUGIO GASTALDI;7.143266;45.298081;2598;Piemonte;OD:004;1
219;401;BEAULARD DORA DI BARDONECCHIA;6.75812;45.046711;1200;Piemonte;OD:401;1
220;402;OULX DORA RIPARIA;6.833394;45.033608;1095;Piemonte;OD:402;1
221;403;SUSA CENISCHIA;7.056017;45.141829;732;Piemonte;OD:403;1
222;406;PONTETTO ISORNO;8.328249;46.151741;471;Piemonte;OD:406;1
223;409;PONTE CADDO BOGNA;8.274046;46.121782;382;Piemonte;OD:409;1
224;412;CARIGNANO PO;7.691195;44.908819;231;Piemonte;OD:412;1
225;413;BORGOSESIA SESIA;8.260531;45.736729;416;Piemonte;OD:413;1
226;414;TAVAGNASCO DORA BALTEA;7.826822;45.548058;274;Piemonte;OD:414;1
227;415;LANZO STURA DI LANZO;7.482822;45.268343;489;Piemonte;OD:415;1
228;417;SAN MARTINO CHISONE;7.283031;44.885361;493;Piemonte;OD:417;1
229;418;LUSERNA S. GIOVANNI PELLICE;7.243907;44.811129;468;Piemonte;OD:418;1
230;420;ROSSANA VARAITA;7.441529;44.554272;512;Piemonte;OD:420;1
231;421;BUSCA MAIRA;7.481391;44.515045;491;Piemonte;OD:421;1
232;422;GAIOLA STURA DI DEMONTE;7.416511;44.331985;739;Piemonte;OD:422;1
233;423;SERRAVALLE SCRIVIA;8.860956;44.725065;219;Piemonte;OD:423;1
234;424;VOLPEDO CURONE;8.982953;44.887034;188;Piemonte;OD:424;1
235;427;CASTELNUOVO BELBO;8.418901;44.798399;144;Piemonte;OD:427;1
236;428;CORIO;7.544813;45.309216;535;Piemonte;OD:428;1
237;429;ALBA TANARO;8.02758;44.705228;163;Piemonte;OD:429;1
238;430;CASAL CERMELLI ORBA;8.631497;44.832896;108;Piemonte;OD:430;1
239;431;CASSINE BORMIDA;8.542509;44.751393;117;Piemonte;OD:431;1
240;435;FARIGLIANO TANARO;7.901655;44.517115;246;Piemonte;OD:435;1
241;437;FOBELLO;8.158537;45.893966;1257;Piemonte;OD:437;1
242;438;SABBIA;8.236616;45.856883;643;Piemonte;OD:438;1
243;440;CASALE MONFERRATO PO;8.447679;45.14182;113;Piemonte;OD:440;1
244;441;DOMODOSSOLA TOCE;8.306299;46.112595;267;Piemonte;OD:441;1
245;442;MOMO AGOGNA;8.547717;45.571136;208;Piemonte;OD:442;1
247;444;CALTIGNAGA TERDOPPIO;8.609903;45.518727;175;Piemonte;OD:444;1
248;445;FOMARCO;8.265875;46.004079;294;Piemonte;OD:445;1
249;446;TORINO GIARDINI REALI;7.691915;45.071707;230;Piemonte;OD:446;1
250;6;BOCCHETTA DELLE PISSE;7.901;45.875551;2200;Piemonte;OD:006;1
251;604;CANDOGLIA TOCE;8.421824;45.974769;375;Piemonte;OD:604;1
252;635;MOTTARONE - BAITA CAI;8.447045;45.880183;1381;Piemonte;OD:635;1
253;637;MOTTAC;8.404268;46.061405;1568;Piemonte;OD:637;1
254;638;SAMBUGHETTO;8.311323;45.906249;807;Piemonte;OD:638;1
255;641;PALLANZA;8.548765;45.924138;196;Piemonte;OD:641;1
256;642;LAGO PAIONE;8.190366;46.175985;2333;Piemonte;OD:642;1
257;7;PASSO DEL MORO;7.976467;45.997038;2837;Piemonte;OD:007;1
258;8;LAGO PILONE;6.876129;45.002284;2220;Piemonte;OD:008;1
259;95;PRAGELATO - TRAMPOLINO A VALLE;6.941292;45.008798;1537;Piemonte;OD:095;1
260;98;CEPPO MORELLI;8.046398;45.987112;2031;Piemonte;OD:098;1
261;99;CANDIA;7.898539;45.321177;234;Piemonte;OD:099;1
262;S1728;CASTAGNOLE LANZE;8.178582;44.751408;210;Piemonte;OD:S1728;1
263;S2047;PIAMPALUDO;8.578969;44.456531;903;Piemonte;OD:S2047;1
264;S2115;VALENZA PO;8.631585;45.050969;91;Piemonte;OD:S2115;1
265;S2422;CASTIGLIONE TORINESE PO;7.784638;45.130468;195;Piemonte;OD:S2422;1
266;S2561;GARDETTA;7.012006;44.409178;2428;Piemonte;OD:S2561;1
267;S2562;PIANI DI CARREGA;9.187473;44.613591;1283;Piemonte;OD:S2562;1
268;S2563;PALANFRE';7.488765;44.193338;1549;Piemonte;OD:S2563;1
269;S2564;TRICERRO;8.329863;45.234896;136;Piemonte;OD:S2564;1
270;S2565;ARVOGNO;8.456488;46.167939;1223;Piemonte;OD:S2565;1
271;S2566;BIELLA;8.056504;45.558729;411;Piemonte;OD:S2566;1
272;S2567;VIALFRE';7.817075;45.379816;442;Piemonte;OD:S2567;1
273;S2568;CESARA;8.364815;45.83613;584;Piemonte;OD:S2568;1
274;S2569;CHIAVES;7.412636;45.33544;1527;Piemonte;OD:S2569;1
275;S2570;SAN DAMIANO MACRA;7.250211;44.506983;964;Piemonte;OD:S2570;1
276;S2571;DEMONTE;7.312178;44.316338;803;Piemonte;OD:S2571;1
277;S2572;ELVA;7.089188;44.546092;1809;Piemonte;OD:S2572;1
278;S2573;CALUSO;7.850287;45.288207;257;Piemonte;OD:S2573;1
279;S2575;PREMIA;8.369178;46.303947;888;Piemonte;OD:S2575;1
280;S2576;DIGA DEL CHIOTAS;7.334116;44.161233;2057;Piemonte;OD:S2576;1
281;S2578;LEMIE;7.273771;45.227703;1125;Piemonte;OD:S2578;1
282;S2579;LOZZOLO;8.333425;45.642544;427;Piemonte;OD:S2579;1
283;S2580;PIAN GIASSET;7.128597;44.689469;2108;Piemonte;OD:S2580;1
284;S2581;RIMA;8.009395;45.87981;1376;Piemonte;OD:S2581;1
285;S2582;MONTENOTTE INFERIORE;8.411186;44.405698;633;Piemonte;OD:S2582;1
286;S2583;SALUZZO;7.478159;44.632295;483;Piemonte;OD:S2583;1
287;S2584;SPARONE;7.543931;45.409812;550;Piemonte;OD:S2584;1
288;S2585;VARALLO POMBIA;8.628801;45.674308;279;Piemonte;OD:S2585;1
289;S2586;BOBBIO PELLICE;7.115586;44.818482;1346;Piemonte;OD:S2586;1
290;S2587;OSIGLIA;8.204231;44.287082;726;Piemonte;OD:S2587;1
291;S2588;MALLARE;8.299522;44.287085;490;Piemonte;OD:S2588;1
292;S2589;ALPE VOBBIA;9.076752;44.575152;1034;Piemonte;OD:S2589;1
293;S2590;PONTE DI NAVA TANARO;7.867616;44.117675;924;Piemonte;OD:S2590;1
294;S2591;ISOLA DEL CANTONE VOBBIA;8.983693;44.64293;649;Piemonte;OD:S2591;1
295;S2592;TIGLIETO ORBA;8.618133;44.524315;487;Piemonte;OD:S2592;1
296;S2598;MURIALDO BORMIDA DI MILLESIMO;8.158406;44.30403;754;Piemonte;OD:S2598;1
297;S2619;SAN SICARIO;6.836215;44.967498;2147;Piemonte;OD:S2619;1
298;S2752;LA LOGGIA CHISOLA;7.669778;44.970657;226;Piemonte;OD:S2752;1
299;S2887;PARELLA CHIUSELLA;7.798087;45.419971;255;Piemonte;OD:S2887;1
300;S2888;BIELMONTE;8.075809;45.661245;1464;Piemonte;OD:S2888;1
301;S2889;ALPE VEGLIA;8.141313;46.275113;1863;Piemonte;OD:S2889;1
302;S2891;CUNEO CAMERA COMMERCIO;7.547277;44.388037;531;Piemonte;OD:S2891;1
303;S2892;SETTEPANI;8.194798;44.236248;1170;Piemonte;OD:S2892;1
304;S2893;SESTRIERE ALPETTE;6.888961;44.951049;2086;Piemonte;OD:S2893;1
305;S2896;CASELLE;7.650884;45.185433;281;Piemonte;OD:S2896;1
306;S2897;CAPANNA MARGHERITA;7.877037;45.927134;4030;Piemonte;OD:S2897;1
307;S2898;ROCCA DELL'ABISSO;7.503083;44.14328;2497;Piemonte;OD:S2898;1
308;S2900;GRAN VAUDALA;7.118978;45.495685;3014;Piemonte;OD:S2900;1
309;S2960;CHATEAU BEAULARD;6.753877;45.026328;1715;Piemonte;OD:S2960;1
310;S2980;GERMAGNANO BORGO STURA DI VIU';7.433507;45.244535;703;Piemonte;OD:S2980;1
