SiteID;SiteCode;SiteName;Longitude;Latitude;Elevation;Regione;SiteName_CentroFunzionale;FullSiteCode;Elevation_flag
361;478200;Montelibretti;12.7389;42.1347;208;Lazio;Montelibretti;OD:478200;1
362;478300;Moricone;12.7736;42.1169;236;Lazio;Moricone;OD:478300;1
363;478400;Palombara Sabina;12.765;42.0667;289;Lazio;Palombara Sabina;OD:478400;1
364;478500;Roma EUR;12.4842;41.8353;28;Lazio;Roma EUR;OD:478500;1
365;478600;Toma Flaminio;12.4688;41.928;19;Lazio;Toma Flaminio;OD:478600;1
368;479000;Posta;13.1008;42.5283;779;Lazio;Posta;OD:479000;1
369;479100;Rocca di Papa;12.7103;41.7603;670;Lazio;Rocca di Papa;OD:479100;1
370;479200;Borgorose;13.2317;42.1931;822;Lazio;Borgorose;OD:479200;1
371;479300;Cittareale;13.1631;42.5906;804;Lazio;Cittareale;OD:479300;1
372;479400;Collalto Sabino;13.0481;42.1397;897;Lazio;Collalto Sabino;OD:479400;1
373;479500;Micigliano;13.0539;42.4522;948;Lazio;Micigliano;OD:479500;1
374;479600;Anzio;12.6303;41.45;34;Lazio;Anzio;OD:479600;1
375;479700;Roma Monte Mario;12.4356;41.9356;111;Lazio;Roma Monte Mario;OD:479700;1
376;479800;Arsoli;13.0197;42.0361;415;Lazio;Arsoli;OD:479800;1
377;479900;Bagnoregio;12.1025;42.6261;366;Lazio;Bagnoregio;OD:479900;1
378;480000;Cittaducale;12.9519;42.3858;503;Lazio;Cittaducale;OD:480000;1
379;480100;Guidonia;12.7264;42;159;Lazio;Guidonia;OD:480100;1
380;480200;Licenza;12.8997;42.075;553;Lazio;Licenza;OD:480200;1
381;480300;Monterotondo ETG;12.6169;42.0514;119;Lazio;Monterotondo ETG;OD:480300;1
382;480400;Morlupo;12.5067;42.1436;223;Lazio;Morlupo;OD:480400;1
383;480500;Palestrina;12.8814;41.8381;428;Lazio;Palestrina;OD:480500;1
384;480600;Riano;12.5039;42.1014;171;Lazio;Riano;OD:480600;1
388;481000;Monte Terminillo;12.9928;42.4556;1594;Lazio;Monte Terminillo;OD:481000;1
419;573500;Osteria di Castro;13.4069;41.5128;210;Lazio;Osteria di Castro;OD:573500;1
420;573600;Borgo Montello;12.7697;41.5125;25;Lazio;Borgo Montello;OD:573600;1
430;574600;Canino rlazio;11.7489;42.4644;212;Lazio;Canino rlazio;OD:574600;1
432;574800;Paglia a Proceno;11.8564;42.7642;269;Lazio;Paglia a Proceno;OD:574800;1
433;574900;Ronciglione rlazio;12.2042;42.2964;502;Lazio;Ronciglione rlazio;OD:574900;1
434;575000;Fosso di Pantanello ad Ostia;12.3608;41.7172;8;Lazio;Ostia Pantanello;OD:575000;1
435;575100;Aprilia;12.6483;41.5939;76;Lazio;Aprilia;OD:575100;1
436;575300;Lago di Nemi;12.6992;41.7189;443;Lazio;Lago di Nemi;OD:575300;1
437;575500;Ponte Ferraioli;13.0989;41.4622;2;Lazio;Ponte Ferraioli;OD:575500;1
438;575600;Priverno;13.1858;41.4708;32;Lazio;Priverno;OD:575600;1
439;575700;Norma;12.9708;41.5869;439;Lazio;Norma;OD:575700;1
441;576000;Rio Cassano;13.0264;41.3728;21;Lazio;Rio Cassano;OD:576000;1
442;576100;Cisterna di Latina;12.8233;41.5894;71;Lazio;Cisterna di Latina;OD:576100;1
443;576200;Cori;12.9153;41.6414;305;Lazio;Cori;OD:576200;1
444;576300;Giuliano di Roma;13.2794;41.5411;291;Lazio;Giuliano di Roma;OD:576300;1
446;576700;Ladispoli rlazio;12.07;41.955;6;Lazio;Ladispoli rlazio;OD:576700;1
450;577100;Monte Romano;11.8942;42.2686;267;Lazio;Monte Romano;OD:577100;1
451;577200;Maccarese rlazio;12.2194;41.8175;1;Lazio;Maccarese rlazio;OD:577200;1
453;577500;Bolsena;11.9722;42.6533;352;Lazio;Bolsena;OD:577500;1
457;578100;Lago di Albano;12.6539;41.7461;286;Lazio;Lago di Albano;OD:578100;1
458;578300;Acquapendente;11.8769;42.7442;397;Lazio;Acquapendente;OD:578300;1
460;578600;Nepi;12.3378;42.2411;223;Lazio;Nepi;OD:578600;1
467;63600;Lago di Corbara;12.2364;42.6983;151;Lazio;Lago di Corbara;OD:63600;1
